lon,lat,title
34.7452511,32.0229589,"studio C בת ים
https://freefit.co.il/CLUBS/?CLUB=14433"
34.7858054,32.0701889,"Boost Fitness Center- Boxing
https://freefit.co.il/CLUBS/?CLUB=29606"
34.8390166,32.1238798,"Ninja Pro משתלה
https://freefit.co.il/CLUBS/?CLUB=27833"
34.8445545,32.1635134,"Daphne's fitness
https://freefit.co.il/CLUBS/?CLUB=25765"
34.7615723,32.0637773,"HTM - Health Throgh Movment Center
https://freefit.co.il/CLUBS/?CLUB=29453"
35.5704033,33.2061571,"Azofit
https://freefit.co.il/CLUBS/?CLUB=29615"
34.774085,32.0792616,"ONLINE pink room
https://freefit.co.il/CLUBS/?CLUB=27810"
35.0331845,31.8912355,"מכבים מרכז ספורט
https://freefit.co.il/CLUBS/?CLUB=27798"
34.7910913,32.1146398,"pink room צפון
https://freefit.co.il/CLUBS/?CLUB=27811"
34.7941452,32.111855,"studio C רמת אביב ג'
https://freefit.co.il/CLUBS/?CLUB=14420"
34.8857829,32.0990029,"studio C אם המושבות
https://freefit.co.il/CLUBS/?CLUB=14422"
34.7691438,32.0837897,"סטראדל אימון משקל גוף
https://freefit.co.il/CLUBS/?CLUB=29022"
35.0899818,32.8443337,"profit קריות
https://freefit.co.il/CLUBS/?CLUB=25649"
35.0727385,32.8287327,"My Gym
https://freefit.co.il/CLUBS/?CLUB=142"
35.1863736,32.1084266,"Ninja Climb
https://freefit.co.il/CLUBS/?CLUB=29440"
34.7850769,32.0657956,"פילאטיס עם ליהי ONLINE
https://freefit.co.il/CLUBS/?CLUB=29347"
34.8135069,31.9767809,"בית היוגה ראשל""צ ONLINE
https://freefit.co.il/CLUBS/?CLUB=29343"
34.7752989,32.095714,"Skyjump נמל כניסת ילדים
https://freefit.co.il/CLUBS/?CLUB=29379"
34.769051,32.085297,"Topsea טופסי סאפ
https://freefit.co.il/CLUBS/?CLUB=29628"
34.7793907,31.2452277,"בריכת בית החייל בבאר שבע
https://freefit.co.il/CLUBS/?CLUB=3371"
34.8254049,32.1644985,"מרכז הסקווש הרצליה- בוקר
https://freefit.co.il/CLUBS/?CLUB=240"
34.8285863,32.1116479,"ONLINE ReVital yoga רויטל יוגה
https://freefit.co.il/CLUBS/?CLUB=29340"
34.8312807,32.1073917,"zen מאמנים לחיים
https://freefit.co.il/CLUBS/?CLUB=27908"
34.867287,32.0879122,"ONLINE INBali Pilates
https://freefit.co.il/CLUBS/?CLUB=29442"
34.7752989,32.095714,"sky jump סקי גאמפ  פארק טרמפולינות ת""א
https://freefit.co.il/CLUBS/?CLUB=29377"
